상권타입,Bus,Subway,평균매매가,평균조절가,유흥업소,살인,강도,강간,절도,폭력,방화,마약,약취,도박,전체범죄,112신고,총_생활인구,아파트_단지수,아파트_평균_시가,개업_점포_수_비요식업,개업_점포_수_요식업,점포_수_비요식업,점포_수_요식업,폐업_점포_수_비요식업,폐업_점포_수_요식업,프랜차이즈_점포_수_비요식업,프랜차이즈_점포_수_요식업,매출액,매출건수,geometry,생활인구_야간비율,생활인구_심야비율,생활인구_여성비율
골목상권,3,1,1785.3379767535748,10.435035020020687,0,1,1,1,1,2,1,2,1,1,1,94619,900872.0,19.0,287012415.0,2.0,1.0,48.0,6.0,2.0,0.0,13.0,4.0,2531198307.0,221455.0,"POLYGON ((202092.57 442709.96, 202131.92 442636.62, 202006.41 442615.66000000003, 201918.36000000002 442599.79000000004, 201906.72 442677.67, 201884.82 442697.25, 201908.43 442722.94, 201930.89 442746.74, 201955.7 442773.95, 201983.69 442745.62, 202058.13 442757.41000000003, 202076.96 442809.48, 202095.41 442817.06, 202118.2 442845.3, 202134.86000000002 442865.91000000003, 202161.17 442898.51, 202227.89 442916.72000000003, 202227.95 442916.53, 202244.52000000002 442857.45, 202164.64 442833.98, 202157.25 442823.46, 202147.61000000002 442807.36, 202128.35 442772.09, 202109.13 442740.01, 202104.12 442731.89, 202092.57 442709.96))",0.10096661900913781,0.20595711710431672,0.4654157305366356
골목상권,3,0,640.1586174296446,9.50305955564684,0,1,1,1,1,2,1,1,1,2,2,94619,349169.0,1.0,871007463.0,1.0,0.0,18.0,4.0,2.0,0.0,4.0,0.0,6687288203.0,132874.0,"POLYGON ((202189.97 443044.13, 202196.15 443024.14, 202207.71 442986.88, 202140.38 442973.48, 202088.51 442904.36, 202068.36000000002 442921.9, 202028.13 442954.41000000003, 202013.43 442944.26, 202001.58000000002 442964.82, 201974.98 443030.54000000004, 202096.92 443078.09, 202170.56 443106.74, 202171.5 443103.82, 202189.97 443044.13))",0.11990182404508991,0.287465382092912,0.4760617351483093
골목상권,8,1,1611.4185624549598,10.320238956596711,1,5,5,5,5,5,5,2,4,2,5,114688,2712550.0,43.0,144947866.0,8.0,11.0,83.0,35.0,9.0,10.0,24.0,24.0,5709002723.0,312017.0,"POLYGON ((193220.08000000002 442663.85000000003, 193165.29 442653.33, 193140.49 442648.57, 193065.24 442634.08, 193048.52 442704.53, 193059.81 442760.03, 193062.03 442765.05, 193075.16 442767.57, 193175.21 442787.19, 193178.23 442832.60000000003, 193182.51 442897.46, 193102.76 442879.18, 193071.77 442872.16000000003, 193038.14 442864.49, 193026.27 442913.93, 193013.25 442968.04000000004, 193130.34 442995.85000000003, 193210.80000000002 443014.95, 193212.36000000002 443012.22000000003, 193289.65 442913.85000000003, 193305.77 442893.71, 193325.09 442869.60000000003, 193333.36000000002 442859.25, 193357.02 442829.68, 193381.75 442799.07, 193427.94 442751.25, 193471.08000000002 442706.58, 193409.64 442700.3, 193359.62 442690.71, 193319.41 442682.97000000003, 193314.02 442681.91000000003, 193221.02 442664.05, 193220.08000000002 442663.85000000003))",0.1347624928572745,0.2769276142375256,0.4979945070136956
골목상권,12,0,270.0204273888901,9.414859557351875,0,5,2,2,2,3,1,5,5,4,3,59933,1243534.0,23.0,97822535.0,8.0,14.0,72.0,34.0,9.0,10.0,6.0,7.0,9234783680.0,343598.0,"POLYGON ((203328.29 462673.63, 203360.48 462673.60000000003, 203360.21 462578.9, 203327.2 462578.93, 203300.42 462578.89, 203269.46 462575.12, 203242.46 462571.77, 203216.9 462568.63, 203187.84 462565.07, 203178.42 462622.66000000003, 203147.25 462617.89, 203116.61000000002 462613.31, 203060.09 462605.4, 203063.13 462652.06, 203082.24 462706.14, 203082.39 462706.39, 203122.96 462756.14, 203179.74 462806.5, 203180.2 462806.94, 203231.12 462850.67, 203277.73 462795.91000000003, 203273.74 462792.43, 203320.29 462740.86, 203328.26 462746.95, 203328.29 462673.63))",0.13503370233544076,0.19057540847294888,0.5379169367303186
골목상권,5,1,1622.9830272258994,10.386544769838016,0,2,3,4,2,4,1,5,1,3,3,68076,1156232.0,4.0,247773611.0,3.0,2.0,57.0,14.0,5.0,0.0,13.0,8.0,9467129111.0,297465.0,"POLYGON ((202916.49 451923.92, 202909.19 451881.47000000003, 202832.15 451893.59, 202725.30000000002 451908.45, 202659.7 451917.51, 202661.87 451971.97000000003, 202662.34 451990.04000000004, 202662.92 452012.05, 202687.25 452021.49, 202741.65 452034.38, 202776.99 452044.01, 202847.19 452063.57, 202854.55000000002 452089.15, 202928.79 452107.94, 202944.13 452084.66000000003, 202900.13 452060.45, 202855.68 452059.16000000003, 202839.42 451944.86, 202886.44 451928.85000000003, 202916.49 451923.92))",0.12868005728954052,0.23852392945360446,0.5401035432335379
골목상권,12,1,894.0074595590064,10.824554525632212,1,1,1,1,1,1,1,1,1,1,1,132570,2314787.0,4.0,329180598.0,14.0,7.0,136.0,45.0,10.0,6.0,29.0,61.0,20437231058.0,1460243.0,"POLYGON ((190635.7 448230.49, 190583.54 448145.12, 190484.75 448207.33, 190441.7 448117.99, 190392.69 448141.97000000003, 190412.30000000002 448187.68, 190422.09 448334.60000000003, 190415.94 448366.41000000003, 190415.14 448370.4, 190392.69 448486.42, 190364.6 448556.87, 190331.08000000002 448640.96, 190410.73 448677.43, 190388.95 448729.89, 190363 448792.49, 190282.24 448763.57, 190208.11000000002 448949.60000000003, 190248.31 448942.96, 190283.66 448924.9, 190399.84 448851.94, 190509.26 448783.29000000004, 190624.94 448711.21, 190739.98 448639.55, 190710.21 448591.17, 190658.93 448623.44, 190641.45 448594.88, 190612.58000000002 448545.01, 190662.41 448513.66000000003, 190605.45 448421.18, 190559.80000000002 448347.06, 190528.02 448297.04000000004, 190635.7 448230.49))",0.12768431825476814,0.22950491773109147,0.48224912270545844
골목상권,3,2,889.2272784222699,9.62066097005427,0,1,3,2,2,2,2,5,5,2,2,96374,849036.0,1.0,382479542.0,3.0,0.0,23.0,5.0,2.0,0.0,8.0,40.0,18493190088.0,658414.0,"POLYGON ((211967.5 448466.02, 211942.24 448399.43, 211869.19 448427.28, 211894.06 448492.24, 211935.15 448598.93, 212003.41 448560.65, 212072.27000000002 448521.32, 212040.98 448453.8, 211973.19 448480.95, 211967.5 448466.02))",0.1313477873729736,0.24699306036493152,0.5247892904423369
골목상권,3,1,627.5436234400931,9.96038783428899,0,3,3,1,3,3,2,1,1,1,2,129382,1422623.0,31.0,145238605.0,3.0,4.0,54.0,14.0,4.0,3.0,0.0,8.0,4164189425.0,117456.0,"POLYGON ((188183.01 448035.69, 188218.99 448019.64, 188196.04 447924.02, 188213.03 447918.51, 188212.47 447916, 188199.41 447856.8, 188149.96 447848.96, 188145.25 447848.22000000003, 188094.65 447839.81, 188091.06 447886.4, 188088.62 447927.75, 188028.51 447923.17, 188025.16 447959.51, 188087.43 447968.99, 188107.02 448031.45, 188072.42 448026.08, 188064.11000000002 448125.49, 188113.15 448133.58, 188163.19 448141.92, 188275.07 448159.42, 188320.49 448166.66000000003, 188325.14 448167.39, 188327.96 448146.8, 188278.32 448139.33, 188282.11000000002 448129.06, 188265.17 448132.07, 188182.77 448113.69, 188186.61000000002 448096.42, 188190.83000000002 448052.03, 188183.01 448035.69))",0.14175083630729995,0.2373123448728159,0.5456189025483209
골목상권,14,2,2182.114575501848,11.589831705657929,3,5,3,5,5,5,2,5,3,1,5,72970,6459047.0,130.0,492810131.0,16.0,19.0,235.0,100.0,11.0,18.0,16.0,16.0,23329024737.0,937692.0,"POLYGON ((200339.06 447908.95, 200352.79 447872.22000000003, 200359.39 447842.60000000003, 200326.06 447844.06, 200316.74 447829.33, 200295.72 447852.3, 200257.81 447884.71, 200219.65 447858.55, 200203.38 447839.44, 200164.34 447872.21, 200146.15 447852.21, 200104.57 447880.08, 200089.39 447882.17, 200106.43 447916.98, 200094.09 447925.35000000003, 200101.34 447943.24, 200071.19 447956.67, 200068.71 447957.58, 200013.48 447947.12, 199992.58000000002 447926.02, 199973.78 447939.32, 199917.32 447940.72000000003, 199847.96 447951.42, 199848.16 447943.92, 199837.81 447897.31, 199817.79 447957.66000000003, 199782.39 447948.48, 199797.56 447908.76, 199791.46 447906.57, 199779.37 447906.57, 199779.76 447848.63, 199745.51 447836.64, 199708.82 447878.19, 199689.67 447889.11, 199705.08000000002 447924.09, 199696.65 447929.63, 199700.29 447939.67, 199711.32 447937.41000000003, 199708.61000000002 447985.82, 199707.13 447987.05, 199701.73 447995.56, 199682.28 448026.35000000003, 199679.07 448031.45, 199704.81 448031.78, 199721.57 448051.52, 199727.9 448144.35000000003, 199705.81 448167.55, 199672.69 448161.07, 199667.39 448177.7, 199741.62 448188.37, 199764.17 448181.36, 199780.88 448176.10000000003, 199814.01 448169.57, 199815.13 448173.34, 199832.54 448211.15, 199810.72 448238.54000000004, 199811.88 448278.87, 199801.87 448312.7, 199813.05000000002 448312.82, 199840.34 448317.92, 199863.33000000002 448330.79000000004, 199836.66 448379.2, 199852.74 448389.25, 199882.67 448413.75, 200038.05000000002 448314.08, 200059.5 448283.69, 200076.45 448255.93, 200095.02000000002 448244, 200141.15 448237.43, 200233.93 448226.53, 200325.36000000002 448216.26, 200319.74 448162.51, 200313.91 448107.94, 200332.06 448100.13, 200306.67 448095.8, 200297.18 448079.89, 200287.64 448082.91000000003, 200271.12 448073.55, 200264.65 448064.98, 200311.19 448005.09, 200305.82 448001.91000000003, 200271.1 447974.79000000004, 200280.46 447962.33, 200355.7 447960.63, 200351.37 447947.45, 200339.06 447908.95))",0.12722155451106024,0.26690795097171455,0.49116951773225986
골목상권,5,1,426.09209763863635,8.943799829547707,0,2,5,2,3,4,3,1,1,1,4,71472,187514.0,5.0,135903898.0,2.0,2.0,10.0,4.0,2.0,1.0,0.0,0.0,1065192991.0,55550.0,"POLYGON ((191090.93 439326.03, 191026.01 439321.10000000003, 190956.29 439321.17, 190936.36000000002 439353.21, 191079.84 439431.67, 191093.12 439438.19, 191110.66 439401.56, 191116.27 439390.87, 191161.59 439411.72000000003, 191184.78 439355.34, 191100.45 439326.7, 191090.93 439326.03))",0.12260417888797637,0.19051910790660964,0.5235022451656943
