기준년도,시도,시군구,행정동,경찰서명,인구,합계원표,성범죄원표,살인강도원표,교통범죄원표,절도범죄원표,폭력범죄원표,지능경제범죄원표,기타원표,합계112,성범죄112,성범죄성폭력112,성범죄데이트폭력112,성범죄스토킹112,살인강도112,살인강도살인112,살인강도강도마약112,교통범죄112,교통범죄교통사고112,교통범죄교통불편112,교통범죄교통위반112,교통범죄사망대형사고112,교통범죄인피도주112,교통범죄음주운전112,절도범죄112,절도범죄절도112,절도범죄소매치기112,지능경제범죄112,지능경제범죄사기112,지능경제범죄보이스피싱112,폭력112,폭력가정폭력112,폭력아동학대가정내112,폭력아동학대기타112,폭력납치감금112,폭력폭력112,폭력공갈112,폭력협박112,폭력재물손괴112,폭력학교폭력112,폭력청소년비행112,기타112,기타도박112,기타주거침입112,기타풍속영업112,기타수배불심자112,기타기타형사범112,기타시비112,기타행패소란112,기타무전취식승차112,기타무취자112,기타보호조치112,기타위험방지112,기타기타경범112,기타상담문의112,기타변사자112,기타비상벨112,기타경비업체요청112,기타가출112,기타분실습득112,기타FTX112,기타자살112,기타실종112,기타내용확인불가112,기타화재112,기타구조요청112,기타소음112,기타노점상112,기타기타타기관112,기타서비스요청112,기타청탁금지법112,기타재해재난112,기타기타위험동물112
2018,서울특별시,금천구,시흥제1동,서울금천,34527.0,10184,200,23,1829,1168,3165,1920,1879,80897,634,296,305,33,31,19,12,9032,4868,2584,1574,4,2,,1889,1,1888,227,227,,7929,1601,31,16,35,4674,0,35,606,19,912,61155,1107,135,824,263,11034,7272,3808,906,1148,7914,2265,848,8030,129,471,34,330,1191,20,416,1581,6731,340,395,2022,10,1564,367,0,0,0
2018,서울특별시,영등포구,대림제3동,서울영등포,24477.0,17517,391,42,3752,2292,5066,3134,2840,108144,723,390,298,35,23,9,14,11707,6471,2817,2413,3,3,,2473,2,2471,386,386,,8952,1122,57,25,53,6054,2,38,710,18,873,83880,848,98,524,322,16314,8878,5251,1183,1503,11878,3156,1248,11357,174,1439,93,400,1572,10,892,2475,6574,454,839,3235,46,2664,453,0,0,0
2018,서울특별시,동작구,사당제3동,서울동작,26435.0,8870,288,21,1825,1151,2354,1651,1580,78211,636,331,278,27,10,3,7,8471,4916,2072,1480,2,1,,1569,3,1566,248,248,,7086,1469,49,22,32,3599,2,36,510,19,1348,60191,227,115,394,266,11902,6305,2861,740,1179,8951,2874,1010,8291,208,898,60,379,1308,40,575,2150,3577,365,581,2689,42,1640,564,0,0,0
2018,서울특별시,동작구,대방동,서울동작,39915.0,8870,288,21,1825,1151,2354,1651,1580,78211,636,331,278,27,10,3,7,8471,4916,2072,1480,2,1,,1569,3,1566,248,248,,7086,1469,49,22,32,3599,2,36,510,19,1348,60191,227,115,394,266,11902,6305,2861,740,1179,8951,2874,1010,8291,208,898,60,379,1308,40,575,2150,3577,365,581,2689,42,1640,564,0,0,0
2018,서울특별시,동작구,노량진제1동,서울동작,64888.0,8870,288,21,1825,1151,2354,1651,1580,78211,636,331,278,27,10,3,7,8471,4916,2072,1480,2,1,,1569,3,1566,248,248,,7086,1469,49,22,32,3599,2,36,510,19,1348,60191,227,115,394,266,11902,6305,2861,740,1179,8951,2874,1010,8291,208,898,60,379,1308,40,575,2150,3577,365,581,2689,42,1640,564,0,0,0
2018,서울특별시,동작구,사당제2동,서울동작,56462.0,8870,288,21,1825,1151,2354,1651,1580,78211,636,331,278,27,10,3,7,8471,4916,2072,1480,2,1,,1569,3,1566,248,248,,7086,1469,49,22,32,3599,2,36,510,19,1348,60191,227,115,394,266,11902,6305,2861,740,1179,8951,2874,1010,8291,208,898,60,379,1308,40,575,2150,3577,365,581,2689,42,1640,564,0,0,0
2018,서울특별시,관악구,행운동,서울관악,29876.0,14302,352,36,2453,2012,3806,2643,3000,129562,1227,468,706,53,27,17,10,12054,6539,3383,2128,0,4,,2853,7,2846,365,365,,11452,1827,67,30,67,7022,2,63,975,24,1375,101584,885,270,996,596,20420,10932,5372,1658,2016,15012,3507,2096,12657,262,1275,69,545,2660,27,1027,3253,6264,624,916,4758,78,2557,852,0,0,0
2018,서울특별시,관악구,중앙동,서울관악,361719.0,14302,352,36,2453,2012,3806,2643,3000,129562,1227,468,706,53,27,17,10,12054,6539,3383,2128,0,4,,2853,7,2846,365,365,,11452,1827,67,30,67,7022,2,63,975,24,1375,101584,885,270,996,596,20420,10932,5372,1658,2016,15012,3507,2096,12657,262,1275,69,545,2660,27,1027,3253,6264,624,916,4758,78,2557,852,0,0,0
2018,서울특별시,관악구,서림동,서울관악,24239.0,14302,352,36,2453,2012,3806,2643,3000,129562,1227,468,706,53,27,17,10,12054,6539,3383,2128,0,4,,2853,7,2846,365,365,,11452,1827,67,30,67,7022,2,63,975,24,1375,101584,885,270,996,596,20420,10932,5372,1658,2016,15012,3507,2096,12657,262,1275,69,545,2660,27,1027,3253,6264,624,916,4758,78,2557,852,0,0,0
2018,서울특별시,관악구,청룡동,서울관악,80761.0,14302,352,36,2453,2012,3806,2643,3000,129562,1227,468,706,53,27,17,10,12054,6539,3383,2128,0,4,,2853,7,2846,365,365,,11452,1827,67,30,67,7022,2,63,975,24,1375,101584,885,270,996,596,20420,10932,5372,1658,2016,15012,3507,2096,12657,262,1275,69,545,2660,27,1027,3253,6264,624,916,4758,78,2557,852,0,0,0
2018,서울특별시,서초구,서초4동,서울서초,31534.0,15120,407,18,2856,1482,5634,1908,2815,90522,903,468,395,40,11,8,3,14937,8185,4142,2605,0,5,,2036,4,2032,479,479,,5772,756,39,25,53,3920,0,41,510,6,422,66384,232,61,552,175,15620,6675,2769,684,1112,8642,3431,834,10198,82,535,103,240,1696,20,694,2024,3521,452,627,3053,10,1914,428,0,0,0
2018,서울특별시,서초구,반포2동,서울서초,16594.0,15120,407,18,2856,1482,5634,1908,2815,90522,903,468,395,40,11,8,3,14937,8185,4142,2605,0,5,,2036,4,2032,479,479,,5772,756,39,25,53,3920,0,41,510,6,422,66384,232,61,552,175,15620,6675,2769,684,1112,8642,3431,834,10198,82,535,103,240,1696,20,694,2024,3521,452,627,3053,10,1914,428,0,0,0
2018,서울특별시,서초구,반포4동,서울서초,20040.0,15120,407,18,2856,1482,5634,1908,2815,90522,903,468,395,40,11,8,3,14937,8185,4142,2605,0,5,,2036,4,2032,479,479,,5772,756,39,25,53,3920,0,41,510,6,422,66384,232,61,552,175,15620,6675,2769,684,1112,8642,3431,834,10198,82,535,103,240,1696,20,694,2024,3521,452,627,3053,10,1914,428,0,0,0
2018,서울특별시,강남구,삼성1동,서울수서,14899.0,11624,194,20,2149,984,4440,1698,2139,68420,840,296,505,39,9,5,4,8648,4800,2650,1195,0,3,,1267,1,1266,282,282,,4912,1272,47,17,55,2450,0,32,383,5,651,52462,127,70,947,172,12576,5049,2061,435,935,5771,2066,822,8245,92,514,87,273,1311,54,457,1846,3753,286,494,1994,13,1491,521,0,0,0
2018,서울특별시,강남구,삼성2동,서울수서,30252.0,11624,194,20,2149,984,4440,1698,2139,68420,840,296,505,39,9,5,4,8648,4800,2650,1195,0,3,,1267,1,1266,282,282,,4912,1272,47,17,55,2450,0,32,383,5,651,52462,127,70,947,172,12576,5049,2061,435,935,5771,2066,822,8245,92,514,87,273,1311,54,457,1846,3753,286,494,1994,13,1491,521,0,0,0
